"collection_id","captured_at_utc","project_id","api_health","cloud_run_ready_revision","cloud_sql_state","gke_cluster_status","gke_node_count","validator_pods_total","validator_pods_running","validator_containers_ready","validator_containers_total","validator_restarts_total","latest_block_height","latest_block_validator","latest_block_finality_votes","pending_count","settlement_report_transactions","compliance_report_events","validator_report_finalized_blocks","latency_health_ms","latency_admin_latest_block_ms","latency_admin_pending_ms","latency_admin_settlement_report_ms","latency_admin_validator_report_ms","latency_corp_a_balance_ms","latency_corp_b_balance_ms","latency_admin_post_smoke_latest_block_ms","smoke_duration_ms","institution_latency_paths_recorded","api_error_count_24h","kani_system_error_count_24h","cloud_sql_error_count_24h","warning_count_24h","smoke_status","smoke_asset","smoke_latest_block_height","smoke_pending_count","status","observation_dir"
"20260510T081257Z","2026-05-10T08:12:57.2392808Z","kani-network-sandbox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","failed","C:\dev\kani\docs\research\observations\20260510T081257Z"
"20260510T081643Z","2026-05-10T08:16:43.5044377Z","kani-network-sandbox","ok","kani-sandbox-api-00012-n46","RUNNABLE","RUNNING","1","3","3","6","6","0","42","validator-c","2","0","42","20","42","","","","","","","","","","","","","","","ok","KCAD_TEST_20260510041757","45","0","ok","C:\dev\kani\docs\research\observations\20260510T081643Z"
"20260510T082648Z","2026-05-10T08:26:48.3429893Z","kani-network-sandbox","ok","kani-sandbox-api-00012-n46","RUNNABLE","RUNNING","1","3","3","6","6","0","48","validator-c","2","0","45","23","45","186","82","31","37","41","139","133","78","28378","KANI_ADMIN,CORP_A,CORP_B",,,,,"ok","KCAD_TEST_20260510042804","48","0","ok","C:\dev\kani\docs\research\observations\20260510T082648Z"
