"collection_id","captured_at_utc","api_health","gke_cluster_status","validator_pods_running","validator_restarts_total","latest_block_height","pending_count","settlement_report_transactions","compliance_report_events","validator_report_finalized_blocks","latency_health_ms","latency_admin_latest_block_ms","latency_admin_pending_ms","latency_admin_settlement_report_ms","latency_admin_validator_report_ms","latency_corp_a_balance_ms","latency_corp_b_balance_ms","smoke_duration_ms","institution_latency_paths_recorded","api_error_count_24h","kani_system_error_count_24h","warning_count_24h","smoke_status"
"20260510T081643Z","2026-05-10T08:16:43.5044377Z","ok","RUNNING","3","0","42","0","42","20","42","","","","","","","","","","","","","ok"
"20260510T082648Z","2026-05-10T08:26:48.3429893Z","ok","RUNNING","3","0","48","0","45","23","45","186","82","31","37","41","139","133","28378","KANI_ADMIN,CORP_A,CORP_B","","","","ok"
